# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 03 Dec 2018 15:41:29
 0> <info> app: Right Press
 0> <info> app: Left Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: [OK]	HR sample count 707
 0> 
 0> Plus Signal 1, 10
 0> Minus Signal -1, 30
 0> plus_index 10, minus_index 30, Peak Index, 10,11,12,13,14,15,16,17,18,19,20,21,22,23,, AVR Peak Index, 16, HR 0, Reject out of 30-180.
 0> Plus Signal 1, 102
 0> Minus Signal -1, 143
 0> plus_index 102, minus_index 143, Peak Index, 113,114,115,, AVR Peak Index, 114, HR 41
 0> Plus Signal 1, 159
 0> Minus Signal -1, 210
 0> plus_index 159, minus_index 210, Peak Index, 195,196,40,
 0> hr,345,77030,95092,-6.00,-1,6
 0> hr,346,77037,95092,-6.00,-1,6
 0> hr,347,77049,95105,-6.00,-1,18
 0> hr,348,77038,95088,-5.00,-1,0
 0> hr,349,77045,95098,-5.00,-1,10
 0> hr,350,77039,95099,-5.00,-1,11
 0> hr,351,77044,95086,-4.00,-1,-2
 0> hr,352,77046,95093,-4.00,-1,4
 0> hr,353,77044,95103,-4.00,-1,14
 0> hr,354,77039,95092,-3.00,-1,2
 0> hr,355,77033,95092,-3.00,-1,2
 0> hr,356,77052,95096,-3.00,-1,6
 0> hr,357,77043,95089,-2.00,-1,0
 0> hr,358,77037,95094,-2.00,-1,4
 0> hr,359,77045,95090,-2.00,-1,0
 0> hr,360,77029,95099,-1.00,-1,9
 0> hr,361,77026,95083,-1.00,-1,-7
 0> hr,362,77047,95088,-1.00,-1,-2
 0> hr,363,77031,95082,0.00,0,-7
 0> hr,364,77031,95079,0.00,0,-10
 0> hr,365,77027,95082,0.00,0,-6
 0> hr,366,77042,95089,0.00,0,0
 0> hr,367,77044,95074,0.00,0,-14
 0> hr,368,77029,95076,0.00,0,-11
 0> hr,369,77049,95081,0.00,0,-6
 0> hr,370,77026,95066,0.00,0,-21
 0> hr,371,77042,95069,0.00,0,-16
 0> hr,372,77030,95064,0.00,0,-21
 0> hr,373,77037,95067,0.00,0,-17
 0> hr,374,77037,95067,0.00,0,-16
 0> hr,375,77040,95069,-1.00,-1,-13
 0> hr,376,77045,95060,-1.00,-1,-21
 0> hr,377,77038,95061,-1.00,-1,-19
 0> hr,378,77034,95057,-2.00,-1,-22
 0> hr,379,77037,95055,-2.00,-1,-23
 0> hr,380,77038,95062,-3.00,-1,-15
 0> hr,381,77036,95057,-3.00,-1,-19
 0> hr,382,77035,95047,-4.00,-1,-28
 0> hr,383,77045,95050,-4.00,-1,-24
 0> hr,384,77045,95055,-5.00,-1,-17
 0> hr,385,77042,95053,-5.00,-1,-19
 0> hr,386,77037,95063,-6.00,-1,-8
 0> hr,387,77040,95057,-6.00,-1,-13
 0> hr,388,77036,95058,-7.00,-1,-12
 0> hr,389,77048,95055,-7.00,-1,-14
 0> hr,390,77037,95056,-8.00,-1,-12
 0> hr,391,77034,95063,-8.00,-1,-5
 0> hr,392,77040,95039,-9.00,-1,-28
 0> hr,393,77042,95046,-9.00,-1,-20
 0> hr,394,77041,95044,-10.00,-1,-21
